Bet,Date,Bookie,Bookies.Odds,Bookies.Decimal,Bookie.Stake,Bookie.Return,Exchange,Lay.Stake,Lay.Decimal,value_ratio,lay_win,Lay.Return.Total,Liability,Profit,Win.Loss,E1.Profit,AB.Profit,AB.E1,implied_prob_back,implied_prob_lay,edge_prob,exposure,roi_exposure,win01
Littler to win & hit the most 180's,2025-05-28,PP,2,3,10,30,Betdaq,10.2,2.09,1.44,20.4,21.32,11.12,8.88,Win,0,8.88,AB,0.333333333333333,0.478468899521531,0.145135566188198,21.12,0.420454545454546,1
Trawlerman to win by 1+ lengths (7:05 Sandown),2025-05-29,PP,2,3,10,30,Betdaq,10.2,2.42,1.24,20.4,24.68,14.48,5.52,Win,0,5.52,AB,0.333333333333333,0.413223140495868,0.0798898071625345,24.48,0.225490196078431,1
Scottie scheffler to win memorial tournament,2025-05-31,Sky Bet,3.33,4.33,200,866,Smarkets,200,4.1,1.06,400,820,620,46,Win,0,46,AB,0.23094688221709,0.24390243902439,0.0129555568073002,820,0.0560975609756098,1
PSG win and over 3.5 match goals,2025-05-31,BetMGM,6.15,7.15,10,71.5,Smarkets,10,6.4,1.12,20,64,54,7.5,Win,0,7.5,AB,0.13986013986014,0.15625,0.0163898601398602,64,0.1171875,1
Kvara 1+ SOT,2025-05-31,Unibet,1,2,10,20,Smarkets,10,1.79,1.12,20,17.9,7.9,2.1,Win,0,2.1,AB,0.5,0.558659217877095,0.0586592178770949,17.9,0.11731843575419,1
Hollie Doyle To ride 1 Or More Winners At York Today,2025-05-31,Sky Bet,1,2,20,40,Smarkets,20.4,1.79,1.12,40.8,36.52,16.12,3.88,Win,0,3.88,AB,0.5,0.558659217877095,0.0586592178770949,36.12,0.107419712070875,1
Havana Prince to win,2025-06-01,Unibet,4.5,5.5,20,110,Smarkets,20,5.4,1.02,40,108,88,2,Win,0,2,AB,0.181818181818182,0.185185185185185,0.00336700336700335,108,0.0185185185185185,1
Nad Alishba green to win,2025-06-01,Unibet,4.5,5.5,50,275,Smarkets,50,5.3,1.04,100,265,215,10,Win,0,10,AB,0.181818181818182,0.188679245283019,0.00686106346483706,265,0.0377358490566038,1
Meleri to win,2025-06-03,Unibet,6.5,7.5,20,150,Smarkets,20,7,1.07,40,140,120,10,Win,0,10,AB,0.133333333333333,0.142857142857143,0.00952380952380952,140,0.0714285714285714,1
Deepwater bay,2025-06-03,Unibet,1,2,200,400,Smarkets,200,1.95,1.03,400,390,190,10,Win,0,10,AB,0.5,0.512820512820513,0.0128205128205129,390,0.0256410256410256,1
Djokovic set 1 correct score 6-3,2025-06-04,Betway,6.5,7.5,29,217.5,Smarkets,29.6,6.4,1.17,59.2,189.44,159.84,28.66,Loss,0,0.01,AB,0.133333333333333,0.15625,0.0229166666666667,188.84,5.2954882440161e-05,0
