Bet,Date,Bookie,Bookies.Odds,Bookies.Decimal,Bookie.Stake,Bookie.Return,Exchange,Lay.Stake,Lay.Decimal,value_ratio,lay_win,Lay.Return.Total,Liability,Profit,Win.Loss,E1.Profit,AB.Profit,AB.E1,implied_prob_back,implied_prob_lay,edge_prob,exposure,roi_exposure,win01
"England 2.5+ goals, 6.5+ corners and latvia 1.5+ cards",2025-03-24,Unibet,2.25,3.25,3,9.75,Smarkets,3,3.2,1.02,6,9.6,6.6,0.15,Win,0,0.15,AB,0.307692307692308,0.3125,0.00480769230769229,9.6,0.015625,1
England to win to nil,2025-03-24,PP,1.2,2.2,10,22,Smarkets,10.2,1.47,1.5,20.4,14.99,4.79,7.21,Win,0,7.21,AB,0.454545454545455,0.680272108843537,0.225726654298083,14.79,0.487491548343475,1
Asian handicap England -3.5,2025-03-24,Unibet,1.3,2.3,3,6.9,Smarkets,3,2.18,1.06,6,6.54,3.54,0.36,Loss,0,-0.06,AB,0.434782608695652,0.458715596330275,0.023932987634623,6.54,-0.0091743119266055,0
Wales to win,2025-03-25,PP,3,4,10,40,Smarkets,10.2,2.58,1.55,20.4,26.32,16.12,13.88,Loss,0,0,AB,0.25,0.387596899224806,0.137596899224806,26.12,0,0
Haaland FGS,2025-03-25,Unibet,3.5,4.5,3,13.5,Betdaq,3,4.3,1.05,6,12.9,9.9,0.6,Loss,0,-0.06,AB,0.222222222222222,0.232558139534884,0.0103359173126615,12.9,-0.00465116279069767,0
"Pistons, Magic, Warriors & Knicks - All to Win Tonight",2025-03-25,BetMGM,3,4,10,40,Betdaq,10.2,3.85,1.04,20.4,39.27,29.07,0.93,Loss,0,0,AB,0.25,0.25974025974026,0.00974025974025972,39.07,0,0
Hollie Doyle to ride a winner,2025-03-27,Sky Bet,1.75,2.75,20,55,Smarkets,20.4,2.6,1.06,40.8,53.04,32.64,2.36,Loss,0,-0.01,AB,0.363636363636364,0.384615384615385,0.0209790209790209,52.64,-0.000189969604863222,0
El bufalo to win,2025-03-27,WH,4,5,50,250,Smarkets,50,4.9,1.02,100,245,195,5,Loss,0,-1,AB,0.2,0.204081632653061,0.00408163265306119,245,-0.00408163265306122,0
Jimenez 0.5+ SOT,2025-03-28,PP,1,2,5,10,Smarkets,5.1,1.87,1.07,10.2,9.54,4.44,0.56,Loss,0,0,AB,0.5,0.53475935828877,0.03475935828877,9.44,0,0
Brighton + Forest 2.5+ goals 9.5+ corners,2025-03-29,Betway,2.2,3.2,10,32,Smarkets,10.2,2.98,1.07,20.4,30.4,20.2,1.8,Loss,0,0,AB,0.3125,0.335570469798658,0.0230704697986577,30.2,0,0
Muniz 0.5+ SOT,2025-03-29,PP,1,2,5,10,Smarkets,5.1,1.77,1.13,10.2,9.03,3.93,1.07,Win,0,1.07,AB,0.5,0.564971751412429,0.0649717514124294,8.93,0.119820828667413,1
Liberty lane top 3,2025-03-29,Betfair,1,2,10,20,Smarkets,10.2,1.82,1.1,20.4,18.56,8.36,1.64,Loss,0,0,AB,0.5,0.549450549450549,0.0494505494505494,18.36,0,0
"Aston Villa to win, Aston Villa most shots on target & Aston Villa most corners",2025-03-30,Bet365,2,3,10,30,Betdaq,10.2,2.64,1.14,20.4,26.93,16.73,3.27,Win,0,3.27,AB,0.333333333333333,0.378787878787879,0.0454545454545455,26.73,0.122334455667789,1
Manchester City & Aston Villa - Both To Win,2025-03-30,Unibet,2.5,3.5,3,10.5,Betdaq,3,3.2,1.09,6,9.6,6.6,0.9,Win,0,0.9,AB,0.285714285714286,0.3125,0.0267857142857143,9.6,0.09375,1
"Semenyo, Kluivert & Haaland 1+ shot on target each",2025-03-30,Sky Bet,3,4,7,28,Smarkets,7,3.5,1.14,14,24.5,17.5,3.5,Loss,0,-0.14,AB,0.25,0.285714285714286,0.0357142857142857,24.5,-0.00571428571428572,0
Asensio score or assist,2025-03-30,Unibet,1.5,2.5,3,7.5,Smarkets,3,2.36,1.06,6,7.08,4.08,0.42,Loss,0,-0.06,AB,0.4,0.423728813559322,0.023728813559322,7.08,-0.00847457627118644,0
Kluivert to score or assist,2025-03-30,Unibet,2.25,3.25,3,9.75,Smarkets,3,3.15,1.03,6,9.45,6.45,0.3,Win,0,0.3,AB,0.307692307692308,0.317460317460317,0.00976800976800973,9.45,0.0317460317460317,1
"Lazio to win, most corners, Torino most cards",2025-03-31,PP,3.33,4.33,100,433,Smarkets,100,4.3,1.01,200,430,330,3,Loss,0,-2,AB,0.23094688221709,0.232558139534884,0.00161125731779366,430,-0.00465116279069767,0
Arsenal to score in both halves,2025-04-01,BetVictor,2.5,3.5,2,7,Smarkets,2,3,1.17,4,6,4,1,Win,0,1,AB,0.285714285714286,0.333333333333333,0.0476190476190476,6,0.166666666666667,1
Bruno 1+ SOT,2025-04-01,Sky Bet,1,2,10,20,Smarkets,10.2,1.84,1.09,20.4,18.77,8.57,1.43,Win,0,1.43,AB,0.5,0.543478260869565,0.0434782608695652,18.57,0.0770059235325794,1
Bruno 1+ SOT,2025-04-01,Bet365,1,2,10,20,Smarkets,10.2,1.88,1.06,20.4,19.18,8.98,1.02,Win,0,1.02,AB,0.5,0.531914893617021,0.0319148936170213,18.98,0.053740779768177,1
Bruno 1+ SOT,2025-04-01,PP,1,2,5,10,Smarkets,5,1.84,1.09,10,9.2,4.2,0.8,Win,0,0.8,AB,0.5,0.543478260869565,0.0434782608695652,9.2,0.0869565217391304,1
Harry Cobden to Ride 1 or More Winners Today,2025-04-02,Sky Bet,1,2,20,40,Betdaq,20.4,1.87,1.07,40.8,38.15,17.75,2.25,Win,0,2.25,AB,0.5,0.53475935828877,0.03475935828877,37.75,0.0596026490066225,1
Mohamed Salah to have 1+ shots on target and Alexis Mac Allister to commit 2+ fouls,2025-04-02,PP,2,3,5,15,Betdaq,5,2.87,1.05,10,14.35,9.35,0.65,Loss,0,-0.1,AB,0.333333333333333,0.348432055749129,0.0150987224157956,14.35,-0.00696864111498258,0
Liverpool to win & Salah to score anytime,2025-04-02,Unibet,2.2,3.2,10,32,Betdaq,10.2,3.05,1.05,20.4,31.11,20.91,1.09,Loss,0,0,AB,0.3125,0.327868852459016,0.0153688524590164,30.91,0,0
Salah AGS,2025-04-02,Bet365,2,3,10,30,Betdaq,10.2,2.58,1.16,20.4,26.32,16.12,3.88,Loss,0,0,AB,0.333333333333333,0.387596899224806,0.0542635658914729,26.12,0,0
Liverpool to win,2025-04-02,PP,1.2,2.2,10,22,Smarkets,10.2,1.51,1.46,20.4,15.4,5.2,6.8,Win,0,6.8,AB,0.454545454545455,0.662251655629139,0.207706201083685,15.2,0.447368421052632,1
Salah SOT,2025-04-02,WH,1,2,10,20,Smarkets,10.2,1.53,1.31,20.4,15.61,5.41,4.59,Win,0,4.59,AB,0.5,0.65359477124183,0.15359477124183,15.41,0.297858533419857,1
"City, Bournemouth, newcastle, palace to win",2025-04-02,BetMGM,4.5,5.5,10,55,Betdaq,10.2,5.2,1.06,20.4,53.04,42.84,2.16,Loss,0,0,AB,0.181818181818182,0.192307692307692,0.0104895104895105,52.84,0,0
Mbeumo 1+ SOT,2025-04-02,PP,1,2,50,100,Smarkets,51,1.95,1.03,102,99.45,48.45,1.55,Win,0,1.55,AB,0.5,0.512820512820513,0.0128205128205129,98.45,0.015744032503809,1
Luke littler 2+ 100+ Checkouts,2025-04-03,PP,5,6,10,60,Betdaq,10.2,5.7,1.05,20.4,58.14,47.94,2.06,Loss,0,0,AB,0.166666666666667,0.175438596491228,0.0087719298245614,57.94,0,0
Constitution Hill to win,2025-04-03,BetVictor Bet,1.75,2.75,5,13.75,Smarkets,5.1,2.2,1.25,10.2,11.22,6.12,2.63,Loss,0,0,AB,0.363636363636364,0.454545454545455,0.0909090909090909,11.12,0,0
Constitution Hill to win,2025-04-03,Bet365,1.75,2.75,10,27.5,Smarkets,10.2,2,1.38,20.4,20.4,10.2,7.3,Loss,0,0,AB,0.363636363636364,0.5,0.136363636363636,20.2,0,0
Constitution Hill to win,2025-04-03,Sky Bet,1.5,2.5,20,50,Smarkets,20.4,2.04,1.23,40.8,41.62,21.22,8.78,Loss,0,-0.01,AB,0.4,0.490196078431373,0.0901960784313725,41.22,-0.000242600679281902,0
Jango Baie to finish in the top 3,2025-04-03,Betfair,1,2,10,20,Smarkets,10.2,1.82,1.1,20.4,18.56,8.36,1.64,Win,0,1.64,AB,0.5,0.549450549450549,0.0494505494505494,18.36,0.0893246187363834,1
Brennan to score or assist,2025-04-03,Unibet,2.5,3.5,3,10.5,Smarkets,3,3.4,1.03,6,10.2,7.2,0.3,Loss,0,-0.06,AB,0.285714285714286,0.294117647058824,0.00840336134453784,10.2,-0.00588235294117647,0
Caicedo & Romero 1+ Foul,2025-04-03,Sky Bet,1,2,10,20,Smarkets,10.2,1.92,1.04,20.4,19.58,9.38,0.62,Loss,0,0,AB,0.5,0.520833333333333,0.0208333333333334,19.38,0,0
"Blackburn, Bayern and Nice win",2025-04-04,BetMGM,6.5,7.5,10,75,Betdaq,10.2,7,1.07,20.4,71.4,61.2,3.8,Loss,0,0,AB,0.133333333333333,0.142857142857143,0.00952380952380952,71.2,0,0
Jonbon to win,2025-04-04,BetVictor Bet,1.2,2.2,5,11,Smarkets,5.1,1.73,1.27,10.2,8.82,3.72,2.28,Win,0,2.28,AB,0.454545454545455,0.578034682080925,0.12348922753547,8.72,0.261467889908257,1
Jonbon to win,2025-04-04,Betfair,1,2,10,20,Smarkets,10.2,1.73,1.16,20.4,17.65,7.45,2.55,Win,0,2.55,AB,0.5,0.578034682080925,0.0780346820809249,17.45,0.146131805157593,1
Jonbon to win,2025-04-04,Bet365,1,2,10,20,Smarkets,10.2,1.73,1.16,20.4,17.65,7.45,2.55,Win,0,2.55,AB,0.5,0.578034682080925,0.0780346820809249,17.45,0.146131805157593,1
"Celtics, Pistons, Bulls to win",2025-04-05,BetMGM,1.25,2.25,10,22.5,Betdaq,10,2.14,1.05,20,21.4,11.4,1.1,Win,0,1.1,AB,0.444444444444444,0.467289719626168,0.0228452751817238,21.4,0.0514018691588785,1
Everton and arsenal BTTS,2025-04-05,BetVictor Bet,2,3,2,6,Smarkets,2,2.28,1.32,4,4.56,2.56,1.44,Win,0,1.44,AB,0.333333333333333,0.43859649122807,0.105263157894737,4.56,0.31578947368421,1
Pickford 6+ Saves,2025-04-05,Sky Bet,6.5,7.5,30,225,Smarkets,30.6,7.2,1.04,61.2,220.32,189.72,5.28,Loss,0,-0.01,AB,0.133333333333333,0.138888888888889,0.00555555555555556,219.72,-4.55124704168942e-05,0
Saka 1+ SOT,2025-04-05,Bet365,1,2,10,20,Smarkets,10.2,1.91,1.05,20.4,19.48,9.28,0.72,Void,0,0,AB,0.5,0.523560209424084,0.0235602094240838,19.28,0,NA
